Playing 4900 games:Played 1 out of 4900 games (0%): [0, 1] 
Played 2 out of 4900 games (0%): [0, 2] 
Played 3 out of 4900 games (0%): [0, 3] 
Played 4 out of 4900 games (0%): [2, 3] 
Played 5 out of 4900 games (0%): [2, 4] 
Played 6 out of 4900 games (0%): [4, 4] 
Played 7 out of 4900 games (0%): [5, 4] 
Played 8 out of 4900 games (0%): [6, 4] 
Played 9 out of 4900 games (0%): [8, 4] 
Played 10 out of 4900 games (0%): [10, 4] 
Played 11 out of 4900 games (0%): [11, 4] 
Played 12 out of 4900 games (0%): [11, 5] 
Played 13 out of 4900 games (0%): [13, 5] 
Played 14 out of 4900 games (0%): [13, 7] 
Played 15 out of 4900 games (0%): [13, 8] 
Played 16 out of 4900 games (0%): [14, 8] 
Played 17 out of 4900 games (0%): [14, 9] 
Played 18 out of 4900 games (0%): [16, 9] 
Played 19 out of 4900 games (0%): [16, 11] 
Played 20 out of 4900 games (0%): [17, 11] 
Played 21 out of 4900 games (0%): [18, 11] 
Played 22 out of 4900 games (0%): [18, 12] 
Played 23 out of 4900 games (0%): [19, 12] 
Played 24 out of 4900 games (0%): [19, 14] 
Played 25 out of 4900 games (1%): [20, 14] 
Played 26 out of 4900 games (1%): [21, 14] 
Played 27 out of 4900 games (1%): [22, 14] 
Played 28 out of 4900 games (1%): [22, 15] 
Played 29 out of 4900 games (1%): [22, 17] 
Played 30 out of 4900 games (1%): [22, 18] 
Played 31 out of 4900 games (1%): [23, 18] 
Played 32 out of 4900 games (1%): [23, 20] 
Played 33 out of 4900 games (1%): [24, 20] 
Played 34 out of 4900 games (1%): [24, 22] 
Played 35 out of 4900 games (1%): [26, 22] 
Played 36 out of 4900 games (1%): [27, 22] 
Played 37 out of 4900 games (1%): [28, 22] 
Played 38 out of 4900 games (1%): [29, 22] 
Played 39 out of 4900 games (1%): [30, 22] 
Played 40 out of 4900 games (1%): [30, 23] 
Played 41 out of 4900 games (1%): [32, 23] 
Played 42 out of 4900 games (1%): [33, 23] 
Played 43 out of 4900 games (1%): [34, 23] 
Played 44 out of 4900 games (1%): [35, 23] 
Played 45 out of 4900 games (1%): [35, 24] 
Played 46 out of 4900 games (1%): [36, 24] 
Played 47 out of 4900 games (1%): [37, 24] 
Played 48 out of 4900 games (1%): [37, 25] 
Played 49 out of 4900 games (1%): [38, 25] 
Played 50 out of 4900 games (1%): [40, 25] 
Played 51 out of 4900 games (1%): [40, 26] 
Played 52 out of 4900 games (1%): [41, 26] 
Played 53 out of 4900 games (1%): [41, 27] 
Played 54 out of 4900 games (1%): [42, 27] 
Played 55 out of 4900 games (1%): [42, 29] 
Played 56 out of 4900 games (1%): [42, 30] 
Played 57 out of 4900 games (1%): [42, 32] 
Played 58 out of 4900 games (1%): [43, 32] 
Played 59 out of 4900 games (1%): [43, 33] 
Played 60 out of 4900 games (1%): [44, 33] 
Played 61 out of 4900 games (1%): [45, 33] 
Played 62 out of 4900 games (1%): [45, 34] 
Played 63 out of 4900 games (1%): [45, 35] 
Played 64 out of 4900 games (1%): [45, 36] 
Played 65 out of 4900 games (1%): [45, 37] 
Played 66 out of 4900 games (1%): [46, 37] 
Played 67 out of 4900 games (1%): [47, 37] 
Played 68 out of 4900 games (1%): [47, 38] 
Played 69 out of 4900 games (1%): [48, 38] 
Played 70 out of 4900 games (1%): [48, 40] 
Played 71 out of 4900 games (1%): [49, 40] 
Played 72 out of 4900 games (1%): [50, 40] 
Played 73 out of 4900 games (1%): [50, 41] 
Played 74 out of 4900 games (2%): [51, 41] 
Played 75 out of 4900 games (2%): [51, 42] 
Played 76 out of 4900 games (2%): [52, 42] 
Played 77 out of 4900 games (2%): [52, 43] 
Played 78 out of 4900 games (2%): [53, 43] 
Played 79 out of 4900 games (2%): [53, 44] 
Played 80 out of 4900 games (2%): [53, 45] 
Played 81 out of 4900 games (2%): [53, 46] 
Played 82 out of 4900 games (2%): [54, 46] 
Played 83 out of 4900 games (2%): [55, 46] 
Played 84 out of 4900 games (2%): [57, 46] 
Played 85 out of 4900 games (2%): [57, 47] 
Played 86 out of 4900 games (2%): [57, 48] 
Played 87 out of 4900 games (2%): [59, 48] 
Played 88 out of 4900 games (2%): [60, 48] 
Played 89 out of 4900 games (2%): [60, 49] 
Played 90 out of 4900 games (2%): [62, 49] 
Played 91 out of 4900 games (2%): [64, 49] 
Played 92 out of 4900 games (2%): [66, 49] 
Played 93 out of 4900 games (2%): [66, 51] 
Played 94 out of 4900 games (2%): [67, 51] 
Played 95 out of 4900 games (2%): [67, 52] 
Played 96 out of 4900 games (2%): [68, 52] 
Played 97 out of 4900 games (2%): [69, 52] 
Played 98 out of 4900 games (2%): [70, 52] 
Played 99 out of 4900 games (2%): [71, 52] 
Played 100 out of 4900 games (2%): [72, 52] 
Played 101 out of 4900 games (2%): [1, 0] 
Played 102 out of 4900 games (2%): [2, 0] 
Played 103 out of 4900 games (2%): [2, 1] 
Played 104 out of 4900 games (2%): [3, 1] 
Played 105 out of 4900 games (2%): [3, 2] 
Played 106 out of 4900 games (2%): [3, 3] 
Played 107 out of 4900 games (2%): [5, 3] 
Played 108 out of 4900 games (2%): [5, 4] 
Played 109 out of 4900 games (2%): [5, 5] 
Played 110 out of 4900 games (2%): [6, 5] 
Played 111 out of 4900 games (2%): [8, 5] 
Played 112 out of 4900 games (2%): [8, 6] 
Played 113 out of 4900 games (2%): [8, 7] 
Played 114 out of 4900 games (2%): [9, 7] 
Played 115 out of 4900 games (2%): [9, 9] 
Played 116 out of 4900 games (2%): [10, 9] 
Played 117 out of 4900 games (2%): [10, 10] 
Played 118 out of 4900 games (2%): [10, 11] 
Played 119 out of 4900 games (2%): [11, 11] 
Played 120 out of 4900 games (2%): [11, 12] 
Played 121 out of 4900 games (2%): [11, 13] 
Played 122 out of 4900 games (2%): [12, 13] 
Played 123 out of 4900 games (3%): [14, 13] 
Played 124 out of 4900 games (3%): [15, 13] 
Played 125 out of 4900 games (3%): [16, 13] 
Played 126 out of 4900 games (3%): [16, 14] 
Played 127 out of 4900 games (3%): [16, 15] 
Played 128 out of 4900 games (3%): [17, 15] 
Played 129 out of 4900 games (3%): [19, 15] 
Played 130 out of 4900 games (3%): [19, 16] 
Played 131 out of 4900 games (3%): [21, 16] 
Played 132 out of 4900 games (3%): [22, 16] 
Played 133 out of 4900 games (3%): [23, 16] 
Played 134 out of 4900 games (3%): [24, 16] 
Played 135 out of 4900 games (3%): [25, 16] 
Played 136 out of 4900 games (3%): [26, 16] 
Played 137 out of 4900 games (3%): [27, 16] 
Played 138 out of 4900 games (3%): [28, 16] 
Played 139 out of 4900 games (3%): [29, 16] 
Played 140 out of 4900 games (3%): [29, 17] 
Played 141 out of 4900 games (3%): [29, 19] 
Played 142 out of 4900 games (3%): [30, 19] 
Played 143 out of 4900 games (3%): [31, 19] 
Played 144 out of 4900 games (3%): [31, 20] 
Played 145 out of 4900 games (3%): [32, 20] 
Played 146 out of 4900 games (3%): [33, 20] 
Played 147 out of 4900 games (3%): [34, 20] 
Played 148 out of 4900 games (3%): [34, 21] 
Played 149 out of 4900 games (3%): [36, 21] 
Played 150 out of 4900 games (3%): [37, 21] 
Played 151 out of 4900 games (3%): [37, 22] 
Played 152 out of 4900 games (3%): [38, 22] 
Played 153 out of 4900 games (3%): [39, 22] 
Played 154 out of 4900 games (3%): [41, 22] 
Played 155 out of 4900 games (3%): [42, 22] 
Played 156 out of 4900 games (3%): [43, 22] 
Played 157 out of 4900 games (3%): [44, 22] 
Played 158 out of 4900 games (3%): [46, 22] 
Played 159 out of 4900 games (3%): [47, 22] 
Played 160 out of 4900 games (3%): [47, 23] 
Played 161 out of 4900 games (3%): [47, 24] 
Played 162 out of 4900 games (3%): [48, 24] 
Played 163 out of 4900 games (3%): [48, 26] 
Played 164 out of 4900 games (3%): [49, 26] 
Played 165 out of 4900 games (3%): [50, 26] 
Played 166 out of 4900 games (3%): [50, 27] 
Played 167 out of 4900 games (3%): [52, 27] 
Played 168 out of 4900 games (3%): [54, 27] 
Played 169 out of 4900 games (3%): [56, 27] 
Played 170 out of 4900 games (3%): [57, 27] 
Played 171 out of 4900 games (3%): [58, 27] 
Played 172 out of 4900 games (4%): [59, 27] 
Played 173 out of 4900 games (4%): [59, 28] 
Played 174 out of 4900 games (4%): [59, 29] 
Played 175 out of 4900 games (4%): [60, 29] 
Played 176 out of 4900 games (4%): [61, 29] 
Played 177 out of 4900 games (4%): [63, 29] 
Played 178 out of 4900 games (4%): [63, 30] 
Played 179 out of 4900 games (4%): [65, 30] 
Played 180 out of 4900 games (4%): [67, 30] 
Played 181 out of 4900 games (4%): [69, 30] 
Played 182 out of 4900 games (4%): [70, 30] 
Played 183 out of 4900 games (4%): [70, 31] 
Played 184 out of 4900 games (4%): [72, 31] 
Played 185 out of 4900 games (4%): [74, 31] 
Played 186 out of 4900 games (4%): [74, 32] 
Played 187 out of 4900 games (4%): [75, 32] 
Played 188 out of 4900 games (4%): [76, 32] 
Played 189 out of 4900 games (4%): [78, 32] 
Played 190 out of 4900 games (4%): [79, 32] 
Played 191 out of 4900 games (4%): [79, 33] 
Played 192 out of 4900 games (4%): [80, 33] 
Played 193 out of 4900 games (4%): [80, 34] 
Played 194 out of 4900 games (4%): [82, 34] 
Played 195 out of 4900 games (4%): [83, 34] 
Played 196 out of 4900 games (4%): [83, 35] 
Played 197 out of 4900 games (4%): [84, 35] 
Played 198 out of 4900 games (4%): [85, 35] 
Played 199 out of 4900 games (4%): [86, 35] 
Played 200 out of 4900 games (4%): [87, 35] 
Played 201 out of 4900 games (4%): [0, 1] 
Played 202 out of 4900 games (4%): [1, 1] 
Played 203 out of 4900 games (4%): [1, 2] 
Played 204 out of 4900 games (4%): [2, 2] 
Played 205 out of 4900 games (4%): [2, 3] 
Played 206 out of 4900 games (4%): [3, 3] 
Played 207 out of 4900 games (4%): [3, 5] 
Played 208 out of 4900 games (4%): [4, 5] 
Played 209 out of 4900 games (4%): [5, 5] 
Played 210 out of 4900 games (4%): [6, 5] 
Played 211 out of 4900 games (4%): [6, 7] 
Played 212 out of 4900 games (4%): [6, 8] 
Played 213 out of 4900 games (4%): [7, 8] 
Played 214 out of 4900 games (4%): [7, 9] 
Played 215 out of 4900 games (4%): [7, 10] 
Played 216 out of 4900 games (4%): [8, 10] 
Played 217 out of 4900 games (4%): [8, 11] 
Played 218 out of 4900 games (4%): [9, 11] 
Played 219 out of 4900 games (4%): [11, 11] 
Played 220 out of 4900 games (4%): [12, 11] 
Played 221 out of 4900 games (5%): [13, 11] 
Played 222 out of 4900 games (5%): [14, 11] 
Played 223 out of 4900 games (5%): [14, 12] 
Played 224 out of 4900 games (5%): [15, 12] 
Played 225 out of 4900 games (5%): [16, 12] 
Played 226 out of 4900 games (5%): [16, 13] 
Played 227 out of 4900 games (5%): [16, 14] 
Played 228 out of 4900 games (5%): [17, 14] 
Played 229 out of 4900 games (5%): [18, 14] 
Played 230 out of 4900 games (5%): [18, 15] 
Played 231 out of 4900 games (5%): [18, 16] 
Played 232 out of 4900 games (5%): [19, 16] 
Played 233 out of 4900 games (5%): [19, 17] 
Played 234 out of 4900 games (5%): [20, 17] 
Played 235 out of 4900 games (5%): [22, 17] 
Played 236 out of 4900 games (5%): [23, 17] 
Played 237 out of 4900 games (5%): [23, 18] 
Played 238 out of 4900 games (5%): [25, 18] 
Played 239 out of 4900 games (5%): [26, 18] 
Played 240 out of 4900 games (5%): [27, 18] 
Played 241 out of 4900 games (5%): [27, 19] 
Played 242 out of 4900 games (5%): [27, 20] 
Played 243 out of 4900 games (5%): [27, 21] 
Played 244 out of 4900 games (5%): [29, 21] 
Played 245 out of 4900 games (5%): [30, 21] 
Played 246 out of 4900 games (5%): [30, 22] 
Played 247 out of 4900 games (5%): [31, 22] 
Played 248 out of 4900 games (5%): [31, 23] 
Played 249 out of 4900 games (5%): [31, 24] 
Played 250 out of 4900 games (5%): [32, 24] 
Played 251 out of 4900 games (5%): [33, 24] 
Played 252 out of 4900 games (5%): [34, 24] 
Played 253 out of 4900 games (5%): [34, 25] 
Played 254 out of 4900 games (5%): [35, 25] 
Played 255 out of 4900 games (5%): [37, 25] 
Played 256 out of 4900 games (5%): [37, 26] 
Played 257 out of 4900 games (5%): [37, 27] 
Played 258 out of 4900 games (5%): [38, 27] 
Played 259 out of 4900 games (5%): [39, 27] 
Played 260 out of 4900 games (5%): [39, 28] 
Played 261 out of 4900 games (5%): [41, 28] 
Played 262 out of 4900 games (5%): [42, 28] 
Played 263 out of 4900 games (5%): [43, 28] 
Played 264 out of 4900 games (5%): [43, 29] 
Played 265 out of 4900 games (5%): [44, 29] 
Played 266 out of 4900 games (5%): [44, 30] 
Played 267 out of 4900 games (5%): [45, 30] 
Played 268 out of 4900 games (5%): [45, 31] 
Played 269 out of 4900 games (5%): [45, 32] 
Played 270 out of 4900 games (6%): [45, 33] 
Played 271 out of 4900 games (6%): [45, 34] 
Played 272 out of 4900 games (6%): [47, 34] 
Played 273 out of 4900 games (6%): [48, 34] 
Played 274 out of 4900 games (6%): [48, 35] 
Played 275 out of 4900 games (6%): [49, 35] 
Played 276 out of 4900 games (6%): [51, 35] 
Played 277 out of 4900 games (6%): [51, 36] 
Played 278 out of 4900 games (6%): [52, 36] 
Played 279 out of 4900 games (6%): [52, 37] 
Played 280 out of 4900 games (6%): [52, 38] 
Played 281 out of 4900 games (6%): [52, 39] 
Played 282 out of 4900 games (6%): [53, 39] 
Played 283 out of 4900 games (6%): [53, 40] 
Played 284 out of 4900 games (6%): [55, 40] 
Played 285 out of 4900 games (6%): [55, 41] 
Played 286 out of 4900 games (6%): [57, 41] 
Played 287 out of 4900 games (6%): [58, 41] 
Played 288 out of 4900 games (6%): [60, 41] 
Played 289 out of 4900 games (6%): [62, 41] 
Played 290 out of 4900 games (6%): [63, 41] 
Played 291 out of 4900 games (6%): [63, 42] 
Played 292 out of 4900 games (6%): [63, 43] 
Played 293 out of 4900 games (6%): [64, 43] 
Played 294 out of 4900 games (6%): [65, 43] 
Played 295 out of 4900 games (6%): [65, 44] 
Played 296 out of 4900 games (6%): [67, 44] 
Played 297 out of 4900 games (6%): [69, 44] 
Played 298 out of 4900 games (6%): [70, 44] 
Played 299 out of 4900 games (6%): [70, 46] 
Played 300 out of 4900 games (6%): [71, 46] 
Played 301 out of 4900 games (6%): [1, 0] 
Played 302 out of 4900 games (6%): [2, 0] 
Played 303 out of 4900 games (6%): [3, 0] 
Played 304 out of 4900 games (6%): [5, 0] 
Played 305 out of 4900 games (6%): [5, 1] 
Played 306 out of 4900 games (6%): [5, 2] 
Played 307 out of 4900 games (6%): [6, 2] 
Played 308 out of 4900 games (6%): [7, 2] 
Played 309 out of 4900 games (6%): [7, 3] 
Played 310 out of 4900 games (6%): [7, 5] 
Played 311 out of 4900 games (6%): [8, 5] 
Played 312 out of 4900 games (6%): [9, 5] 
Played 313 out of 4900 games (6%): [9, 6] 
Played 314 out of 4900 games (6%): [9, 7] 
Played 315 out of 4900 games (6%): [10, 7] 
Played 316 out of 4900 games (6%): [11, 7] 
Played 317 out of 4900 games (6%): [12, 7] 
Played 318 out of 4900 games (6%): [14, 7] 
Played 319 out of 4900 games (7%): [14, 8] 
Played 320 out of 4900 games (7%): [16, 8] 
Played 321 out of 4900 games (7%): [17, 8] 
Played 322 out of 4900 games (7%): [18, 8] 
Played 323 out of 4900 games (7%): [19, 8] 
Played 324 out of 4900 games (7%): [19, 10] 
Played 325 out of 4900 games (7%): [20, 10] 
Played 326 out of 4900 games (7%): [22, 10] 
Played 327 out of 4900 games (7%): [22, 11] 
Played 328 out of 4900 games (7%): [23, 11] 
Played 329 out of 4900 games (7%): [24, 11] 
Played 330 out of 4900 games (7%): [24, 13] 
Played 331 out of 4900 games (7%): [26, 13] 
Played 332 out of 4900 games (7%): [27, 13] 
Played 333 out of 4900 games (7%): [29, 13] 
Played 334 out of 4900 games (7%): [30, 13] 
Played 335 out of 4900 games (7%): [31, 13] 
Played 336 out of 4900 games (7%): [32, 13] 
Played 337 out of 4900 games (7%): [33, 13] 
Played 338 out of 4900 games (7%): [34, 13] 
Played 339 out of 4900 games (7%): [34, 14] 
Played 340 out of 4900 games (7%): [34, 16] 
Played 341 out of 4900 games (7%): [36, 16] 
Played 342 out of 4900 games (7%): [36, 17] 
Played 343 out of 4900 games (7%): [37, 17] 
Played 344 out of 4900 games (7%): [38, 17] 
Played 345 out of 4900 games (7%): [39, 17] 
Played 346 out of 4900 games (7%): [41, 17] 
Played 347 out of 4900 games (7%): [41, 18] 
Played 348 out of 4900 games (7%): [41, 19] 
Played 349 out of 4900 games (7%): [42, 19] 
Played 350 out of 4900 games (7%): [43, 19] 
Played 351 out of 4900 games (7%): [44, 19] 
Played 352 out of 4900 games (7%): [44, 20] 
Played 353 out of 4900 games (7%): [44, 21] 
Played 354 out of 4900 games (7%): [45, 21] 
Played 355 out of 4900 games (7%): [46, 21] 
Played 356 out of 4900 games (7%): [48, 21] 
Played 357 out of 4900 games (7%): [49, 21] 
Played 358 out of 4900 games (7%): [51, 21] 
Played 359 out of 4900 games (7%): [52, 21] 
Played 360 out of 4900 games (7%): [53, 21] 
Played 361 out of 4900 games (7%): [54, 21] 
Played 362 out of 4900 games (7%): [55, 21] 
Played 363 out of 4900 games (7%): [55, 22] 
Played 364 out of 4900 games (7%): [56, 22] 
Played 365 out of 4900 games (7%): [57, 22] 
Played 366 out of 4900 games (7%): [58, 22] 
Played 367 out of 4900 games (7%): [59, 22] 
Played 368 out of 4900 games (8%): [59, 24] 
Played 369 out of 4900 games (8%): [59, 25] 
Played 370 out of 4900 games (8%): [60, 25] 
Played 371 out of 4900 games (8%): [61, 25] 
Played 372 out of 4900 games (8%): [61, 26] 
Played 373 out of 4900 games (8%): [61, 27] 
Played 374 out of 4900 games (8%): [61, 28] 
Played 375 out of 4900 games (8%): [61, 29] 
Played 376 out of 4900 games (8%): [62, 29] 
Played 377 out of 4900 games (8%): [62, 31] 
Played 378 out of 4900 games (8%): [63, 31] 
Played 379 out of 4900 games (8%): [64, 31] 
Played 380 out of 4900 games (8%): [64, 32] 
Played 381 out of 4900 games (8%): [64, 33] 
Played 382 out of 4900 games (8%): [65, 33] 
Played 383 out of 4900 games (8%): [66, 33] 
Played 384 out of 4900 games (8%): [66, 34] 
Played 385 out of 4900 games (8%): [66, 36] 
Played 386 out of 4900 games (8%): [66, 37] 
Played 387 out of 4900 games (8%): [66, 38] 
Played 388 out of 4900 games (8%): [68, 38] 
Played 389 out of 4900 games (8%): [69, 38] 
Played 390 out of 4900 games (8%): [69, 39] 
Played 391 out of 4900 games (8%): [70, 39] 
Played 392 out of 4900 games (8%): [72, 39] 
