#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,400,400,46,54,49,112,100
1,2,811,811,44,56,48,120,100
1,3,1215,1215,34,66,34,125,100
1,4,1617,1617,37,63,46,129,100
1,5,2022,2022,42,58,47,122,100
1,6,2422,2422,43,57,49,122,100
2,1,2820,2820,47,53,53,122,100
2,2,3215,3215,44,56,50,123,100
2,3,3634,3634,52,48,56,119,100
2,4,4048,4048,46,54,51,122,100
2,5,4452,4452,43,57,48,119,100
2,6,4855,4855,37,63,49,129,100
3,1,5262,5262,39,61,43,128,100
3,2,5652,5652,37,63,41,122,100
3,3,6058,6058,39,61,44,125,100
3,4,6452,6452,39,61,45,127,100
3,5,6848,6848,47,53,49,117,100
3,6,7243,7243,40,60,47,127,100
4,1,7640,7640,41,59,45,127,100
4,2,8043,8043,47,53,53,126,100
4,3,8468,8468,48,52,51,116,100
4,4,8859,8859,48,52,57,128,100
4,5,9241,9241,44,56,49,126,100
4,6,9638,9638,43,57,49,132,100
5,1,10024,10024,41,59,47,130,100
5,2,10416,10416,37,63,42,122,100
5,3,10821,10821,34,66,39,125,100
5,4,11224,11224,40,60,47,124,100
5,5,11621,11621,48,52,53,128,100
5,6,12029,12029,44,56,47,119,100
6,1,12426,12426,43,57,46,124,100
6,2,12809,12809,40,60,47,125,100
6,3,13224,13224,35,65,39,120,100
6,4,13617,13617,38,62,45,125,100
6,5,14019,14019,32,68,38,125,100
6,6,14425,14425,44,56,47,123,100
