Playing 4900 games:Played 1 out of 4900 games (0%): [3, 0] 
Played 2 out of 4900 games (0%): [4, 0] 
Played 3 out of 4900 games (0%): [5, 0] 
Played 4 out of 4900 games (0%): [7, 0] 
Played 5 out of 4900 games (0%): [10, 0] 
Played 6 out of 4900 games (0%): [10, 1] 
Played 7 out of 4900 games (0%): [10, 3] 
Played 8 out of 4900 games (0%): [13, 3] 
Played 9 out of 4900 games (0%): [13, 5] 
Played 10 out of 4900 games (0%): [16, 5] 
Played 11 out of 4900 games (0%): [18, 5] 
Played 12 out of 4900 games (0%): [20, 5] 
Played 13 out of 4900 games (0%): [21, 5] 
Played 14 out of 4900 games (0%): [21, 6] 
Played 15 out of 4900 games (0%): [22, 6] 
Played 16 out of 4900 games (0%): [25, 6] 
Played 17 out of 4900 games (0%): [25, 7] 
Played 18 out of 4900 games (0%): [27, 7] 
Played 19 out of 4900 games (0%): [30, 7] 
Played 20 out of 4900 games (0%): [33, 7] 
Played 21 out of 4900 games (0%): [36, 7] 
Played 22 out of 4900 games (0%): [37, 7] 
Played 23 out of 4900 games (0%): [40, 7] 
Played 24 out of 4900 games (0%): [40, 8] 
Played 25 out of 4900 games (1%): [41, 8] 
Played 26 out of 4900 games (1%): [43, 8] 
Played 27 out of 4900 games (1%): [45, 8] 
Played 28 out of 4900 games (1%): [45, 9] 
Played 29 out of 4900 games (1%): [48, 9] 
Played 30 out of 4900 games (1%): [51, 9] 
Played 31 out of 4900 games (1%): [54, 9] 
Played 32 out of 4900 games (1%): [57, 9] 
Played 33 out of 4900 games (1%): [59, 9] 
Played 34 out of 4900 games (1%): [61, 9] 
Played 35 out of 4900 games (1%): [63, 9] 
Played 36 out of 4900 games (1%): [66, 9] 
Played 37 out of 4900 games (1%): [67, 9] 
Played 38 out of 4900 games (1%): [68, 9] 
Played 39 out of 4900 games (1%): [70, 9] 
Played 40 out of 4900 games (1%): [71, 9] 
Played 41 out of 4900 games (1%): [73, 9] 
Played 42 out of 4900 games (1%): [74, 9] 
Played 43 out of 4900 games (1%): [76, 9] 
Played 44 out of 4900 games (1%): [77, 9] 
Played 45 out of 4900 games (1%): [79, 9] 
Played 46 out of 4900 games (1%): [79, 10] 
Played 47 out of 4900 games (1%): [79, 11] 
Played 48 out of 4900 games (1%): [80, 11] 
Played 49 out of 4900 games (1%): [81, 11] 
Played 50 out of 4900 games (1%): [83, 11] 
Played 51 out of 4900 games (1%): [83, 12] 
Played 52 out of 4900 games (1%): [86, 12] 
Played 53 out of 4900 games (1%): [89, 12] 
Played 54 out of 4900 games (1%): [90, 12] 
Played 55 out of 4900 games (1%): [92, 12] 
Played 56 out of 4900 games (1%): [93, 12] 
Played 57 out of 4900 games (1%): [94, 12] 
Played 58 out of 4900 games (1%): [96, 12] 
Played 59 out of 4900 games (1%): [98, 12] 
Played 60 out of 4900 games (1%): [99, 12] 
Played 61 out of 4900 games (1%): [100, 12] 
Played 62 out of 4900 games (1%): [103, 12] 
Played 63 out of 4900 games (1%): [106, 12] 
Played 64 out of 4900 games (1%): [109, 12] 
Played 65 out of 4900 games (1%): [110, 12] 
Played 66 out of 4900 games (1%): [112, 12] 
Played 67 out of 4900 games (1%): [114, 12] 
Played 68 out of 4900 games (1%): [116, 12] 
Played 69 out of 4900 games (1%): [116, 13] 
Played 70 out of 4900 games (1%): [116, 14] 
Played 71 out of 4900 games (1%): [119, 14] 
Played 72 out of 4900 games (1%): [122, 14] 
Played 73 out of 4900 games (1%): [122, 15] 
Played 74 out of 4900 games (2%): [122, 16] 
Played 75 out of 4900 games (2%): [124, 16] 
Played 76 out of 4900 games (2%): [126, 16] 
Played 77 out of 4900 games (2%): [127, 16] 
Played 78 out of 4900 games (2%): [130, 16] 
Played 79 out of 4900 games (2%): [131, 16] 
Played 80 out of 4900 games (2%): [134, 16] 
Played 81 out of 4900 games (2%): [134, 17] 
Played 82 out of 4900 games (2%): [134, 18] 
Played 83 out of 4900 games (2%): [134, 21] 
Played 84 out of 4900 games (2%): [137, 21] 
Played 85 out of 4900 games (2%): [138, 21] 
Played 86 out of 4900 games (2%): [138, 22] 
Played 87 out of 4900 games (2%): [141, 22] 
Played 88 out of 4900 games (2%): [142, 22] 
Played 89 out of 4900 games (2%): [144, 22] 
Played 90 out of 4900 games (2%): [144, 23] 
Played 91 out of 4900 games (2%): [147, 23] 
Played 92 out of 4900 games (2%): [150, 23] 
Played 93 out of 4900 games (2%): [151, 23] 
Played 94 out of 4900 games (2%): [154, 23] 
Played 95 out of 4900 games (2%): [155, 23] 
Played 96 out of 4900 games (2%): [156, 23] 
Played 97 out of 4900 games (2%): [157, 23] 
Played 98 out of 4900 games (2%): [157, 25] 
Played 99 out of 4900 games (2%): [157, 28] 
Played 100 out of 4900 games (2%): [157, 30] 
Played 101 out of 4900 games (2%): [3, 0] 
Played 102 out of 4900 games (2%): [6, 0] 
Played 103 out of 4900 games (2%): [7, 0] 
Played 104 out of 4900 games (2%): [9, 0] 
Played 105 out of 4900 games (2%): [9, 1] 
Played 106 out of 4900 games (2%): [10, 1] 
Played 107 out of 4900 games (2%): [11, 1] 
Played 108 out of 4900 games (2%): [14, 1] 
Played 109 out of 4900 games (2%): [14, 2] 
Played 110 out of 4900 games (2%): [14, 3] 
Played 111 out of 4900 games (2%): [14, 4] 
Played 112 out of 4900 games (2%): [16, 4] 
Played 113 out of 4900 games (2%): [17, 4] 
Played 114 out of 4900 games (2%): [20, 4] 
Played 115 out of 4900 games (2%): [22, 4] 
Played 116 out of 4900 games (2%): [25, 4] 
Played 117 out of 4900 games (2%): [25, 5] 
Played 118 out of 4900 games (2%): [25, 7] 
Played 119 out of 4900 games (2%): [28, 7] 
Played 120 out of 4900 games (2%): [29, 7] 
Played 121 out of 4900 games (2%): [31, 7] 
Played 122 out of 4900 games (2%): [33, 7] 
Played 123 out of 4900 games (3%): [36, 7] 
Played 124 out of 4900 games (3%): [39, 7] 
Played 125 out of 4900 games (3%): [40, 7] 
Played 126 out of 4900 games (3%): [43, 7] 
Played 127 out of 4900 games (3%): [46, 7] 
Played 128 out of 4900 games (3%): [46, 8] 
Played 129 out of 4900 games (3%): [49, 8] 
Played 130 out of 4900 games (3%): [50, 8] 
Played 131 out of 4900 games (3%): [51, 8] 
Played 132 out of 4900 games (3%): [52, 8] 
Played 133 out of 4900 games (3%): [53, 8] 
Played 134 out of 4900 games (3%): [53, 9] 
Played 135 out of 4900 games (3%): [55, 9] 
Played 136 out of 4900 games (3%): [56, 9] 
Played 137 out of 4900 games (3%): [57, 9] 
Played 138 out of 4900 games (3%): [59, 9] 
Played 139 out of 4900 games (3%): [60, 9] 
Played 140 out of 4900 games (3%): [60, 11] 
Played 141 out of 4900 games (3%): [61, 11] 
Played 142 out of 4900 games (3%): [62, 11] 
Played 143 out of 4900 games (3%): [62, 14] 
Played 144 out of 4900 games (3%): [63, 14] 
Played 145 out of 4900 games (3%): [65, 14] 
Played 146 out of 4900 games (3%): [68, 14] 
Played 147 out of 4900 games (3%): [69, 14] 
Played 148 out of 4900 games (3%): [69, 15] 
Played 149 out of 4900 games (3%): [70, 15] 
Played 150 out of 4900 games (3%): [72, 15] 
Played 151 out of 4900 games (3%): [74, 15] 
Played 152 out of 4900 games (3%): [74, 16] 
Played 153 out of 4900 games (3%): [75, 16] 
Played 154 out of 4900 games (3%): [75, 17] 
Played 155 out of 4900 games (3%): [76, 17] 
Played 156 out of 4900 games (3%): [77, 17] 
Played 157 out of 4900 games (3%): [80, 17] 
Played 158 out of 4900 games (3%): [83, 17] 
Played 159 out of 4900 games (3%): [85, 17] 
Played 160 out of 4900 games (3%): [88, 17] 
Played 161 out of 4900 games (3%): [91, 17] 
Played 162 out of 4900 games (3%): [93, 17] 
Played 163 out of 4900 games (3%): [94, 17] 
Played 164 out of 4900 games (3%): [94, 18] 
Played 165 out of 4900 games (3%): [96, 18] 
Played 166 out of 4900 games (3%): [97, 18] 
Played 167 out of 4900 games (3%): [100, 18] 
Played 168 out of 4900 games (3%): [102, 18] 
Played 169 out of 4900 games (3%): [102, 19] 
Played 170 out of 4900 games (3%): [105, 19] 
Played 171 out of 4900 games (3%): [108, 19] 
Played 172 out of 4900 games (4%): [109, 19] 
Played 173 out of 4900 games (4%): [109, 20] 
Played 174 out of 4900 games (4%): [110, 20] 
Played 175 out of 4900 games (4%): [112, 20] 
Played 176 out of 4900 games (4%): [113, 20] 
Played 177 out of 4900 games (4%): [115, 20] 
Played 178 out of 4900 games (4%): [117, 20] 
Played 179 out of 4900 games (4%): [118, 20] 
Played 180 out of 4900 games (4%): [118, 22] 
Played 181 out of 4900 games (4%): [120, 22] 
Played 182 out of 4900 games (4%): [121, 22] 
Played 183 out of 4900 games (4%): [121, 23] 
Played 184 out of 4900 games (4%): [123, 23] 
Played 185 out of 4900 games (4%): [125, 23] 
Played 186 out of 4900 games (4%): [126, 23] 
Played 187 out of 4900 games (4%): [126, 24] 
Played 188 out of 4900 games (4%): [128, 24] 
Played 189 out of 4900 games (4%): [131, 24] 
Played 190 out of 4900 games (4%): [131, 25] 
Played 191 out of 4900 games (4%): [134, 25] 
Played 192 out of 4900 games (4%): [137, 25] 
Played 193 out of 4900 games (4%): [137, 26] 
Played 194 out of 4900 games (4%): [139, 26] 
Played 195 out of 4900 games (4%): [139, 27] 
Played 196 out of 4900 games (4%): [139, 29] 
Played 197 out of 4900 games (4%): [142, 29] 
Played 198 out of 4900 games (4%): [144, 29] 
Played 199 out of 4900 games (4%): [145, 29] 
Played 200 out of 4900 games (4%): [147, 29] 
Played 201 out of 4900 games (4%): [2, 0] 
Played 202 out of 4900 games (4%): [2, 1] 
Played 203 out of 4900 games (4%): [3, 1] 
Played 204 out of 4900 games (4%): [4, 1] 
Played 205 out of 4900 games (4%): [6, 1] 
Played 206 out of 4900 games (4%): [8, 1] 
Played 207 out of 4900 games (4%): [11, 1] 
Played 208 out of 4900 games (4%): [12, 1] 
Played 209 out of 4900 games (4%): [12, 2] 
Played 210 out of 4900 games (4%): [14, 2] 
Played 211 out of 4900 games (4%): [14, 3] 
Played 212 out of 4900 games (4%): [15, 3] 
Played 213 out of 4900 games (4%): [15, 4] 
Played 214 out of 4900 games (4%): [17, 4] 
Played 215 out of 4900 games (4%): [17, 5] 
Played 216 out of 4900 games (4%): [19, 5] 
Played 217 out of 4900 games (4%): [22, 5] 
Played 218 out of 4900 games (4%): [24, 5] 
Played 219 out of 4900 games (4%): [27, 5] 
Played 220 out of 4900 games (4%): [29, 5] 
Played 221 out of 4900 games (5%): [30, 5] 
Played 222 out of 4900 games (5%): [32, 5] 
Played 223 out of 4900 games (5%): [34, 5] 
Played 224 out of 4900 games (5%): [35, 5] 
Played 225 out of 4900 games (5%): [36, 5] 
Played 226 out of 4900 games (5%): [39, 5] 
Played 227 out of 4900 games (5%): [40, 5] 
Played 228 out of 4900 games (5%): [41, 5] 
Played 229 out of 4900 games (5%): [43, 5] 
Played 230 out of 4900 games (5%): [44, 5] 
Played 231 out of 4900 games (5%): [46, 5] 
Played 232 out of 4900 games (5%): [49, 5] 
Played 233 out of 4900 games (5%): [52, 5] 
Played 234 out of 4900 games (5%): [52, 8] 
Played 235 out of 4900 games (5%): [52, 9] 
Played 236 out of 4900 games (5%): [55, 9] 
Played 237 out of 4900 games (5%): [58, 9] 
Played 238 out of 4900 games (5%): [60, 9] 
Played 239 out of 4900 games (5%): [61, 9] 
Played 240 out of 4900 games (5%): [64, 9] 
Played 241 out of 4900 games (5%): [67, 9] 
Played 242 out of 4900 games (5%): [67, 10] 
Played 243 out of 4900 games (5%): [70, 10] 
Played 244 out of 4900 games (5%): [70, 11] 
Played 245 out of 4900 games (5%): [70, 12] 
Played 246 out of 4900 games (5%): [73, 12] 
Played 247 out of 4900 games (5%): [75, 12] 
Played 248 out of 4900 games (5%): [77, 12] 
Played 249 out of 4900 games (5%): [79, 12] 
Played 250 out of 4900 games (5%): [80, 12] 
Played 251 out of 4900 games (5%): [83, 12] 
