#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,809,803,29,71,47,139,100
1,2,1573,1567,26,74,43,143,100
1,3,2341,2327,31,69,47,147,100
1,4,3091,3078,30,70,53,155,100
1,5,3861,3846,37,63,60,150,100
1,6,4606,4590,26,74,47,148,100
2,1,5393,5371,31,69,56,144,100
2,2,6149,6126,31,69,44,137,100
2,3,6939,6903,29,71,49,140,100
2,4,7730,7693,30,70,45,141,100
2,5,8478,8434,27,73,47,150,100
2,6,9213,9175,28,72,47,153,100
3,1,10005,9958,27,73,44,144,100
3,2,10796,10745,22,78,36,142,100
3,3,11550,11504,34,66,65,157,100
3,4,12330,12279,28,72,41,130,100
3,5,13117,13066,29,71,52,145,100
3,6,13893,13845,26,74,41,137,100
4,1,14705,14644,31,69,51,139,100
4,2,15453,15383,27,73,48,144,100
4,3,16205,16137,24,76,41,155,100
4,4,16975,16896,32,68,55,149,100
4,5,17746,17666,22,78,37,143,100
4,6,18531,18443,25,75,43,144,100
5,1,19324,19231,32,68,54,145,100
5,2,20069,19964,32,68,57,154,100
5,3,20845,20732,27,73,42,146,100
5,4,21634,21517,26,74,47,148,100
5,5,22415,22295,28,72,55,147,100
5,6,23189,23056,28,72,48,150,100
6,1,23958,23821,32,68,62,153,100
6,2,24720,24581,33,67,52,138,100
6,3,25472,25333,31,69,50,151,100
6,4,26233,26088,35,65,61,152,100
6,5,27005,26854,30,70,46,143,100
6,6,27740,27591,20,80,37,149,100
