#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,391,391,42,58,52,124,100
1,2,780,780,32,68,35,122,100
1,3,1183,1183,43,57,46,117,100
1,4,1587,1587,37,63,44,120,100
1,5,1998,1998,43,57,48,120,100
1,6,2401,2401,35,65,39,114,100
2,1,2804,2804,38,62,44,122,100
2,2,3206,3206,41,59,48,122,100
2,3,3588,3588,37,63,44,128,100
2,4,4005,4005,40,60,45,117,100
2,5,4391,4391,33,67,40,127,100
2,6,4807,4807,32,68,38,118,100
3,1,5216,5216,32,68,36,122,100
3,2,5605,5605,35,65,41,123,100
3,3,6005,6005,49,51,57,124,100
3,4,6410,6410,34,66,39,121,100
3,5,6819,6819,30,70,34,119,100
3,6,7215,7215,49,51,55,118,100
4,1,7620,7620,36,64,39,121,100
4,2,8035,8035,31,69,34,120,100
4,3,8434,8434,40,60,45,121,100
4,4,8841,8841,48,52,52,117,100
4,5,9223,9223,35,65,44,126,100
4,6,9613,9613,35,65,39,124,100
5,1,10005,10005,40,60,46,125,100
5,2,10400,10400,40,60,42,115,100
5,3,10807,10807,37,63,44,123,100
5,4,11221,11221,25,75,28,122,100
5,5,11629,11629,37,63,41,120,100
5,6,12026,12026,32,68,37,116,100
6,1,12434,12434,33,67,38,119,100
6,2,12835,12835,41,59,50,129,100
6,3,13251,13251,43,57,48,121,100
6,4,13664,13664,36,64,41,120,100
6,5,14060,14060,29,71,35,128,100
6,6,14449,14449,35,65,39,126,100
