#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,807,808,80,20,116,145,100
1,2,1615,1613,73,27,106,144,100
1,3,2413,2415,78,22,110,143,100
1,4,3233,3235,86,14,120,137,100
1,5,4052,4056,75,25,102,137,100
1,6,4827,4831,74,26,110,147,100
2,1,5614,5622,78,22,110,143,100
2,2,6420,6430,79,21,105,140,100
2,3,7229,7238,82,18,117,140,100
2,4,7996,8002,78,22,120,153,100
2,5,8762,8767,79,21,120,154,100
2,6,9568,9571,84,16,118,142,100
3,1,10369,10374,75,25,103,142,100
3,2,11113,11118,82,18,133,166,100
3,3,11893,11900,74,26,109,148,100
3,4,12728,12734,79,21,109,140,100
3,5,13518,13524,67,33,105,156,100
3,6,14319,14324,82,18,113,142,100
4,1,15143,15145,86,14,122,142,100
4,2,15942,15941,82,18,120,145,100
4,3,16741,16744,78,22,110,143,100
4,4,17517,17522,80,20,114,136,100
4,5,18332,18337,84,16,117,143,100
4,6,19116,19118,75,25,104,146,100
5,1,19943,19944,78,22,103,131,100
5,2,20763,20767,73,27,92,133,100
5,3,21561,21566,77,23,111,150,100
5,4,22373,22374,82,18,113,142,100
5,5,23134,23136,68,32,102,154,100
5,6,23955,23954,80,20,105,135,100
6,1,24779,24780,81,19,109,137,100
6,2,25611,25610,80,20,111,143,100
6,3,26374,26374,77,23,116,158,100
6,4,27167,27167,77,23,116,153,100
6,5,27982,27983,76,24,108,137,100
6,6,28742,28744,79,21,122,154,100
