#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,832,829,66,34,112,151,100
1,2,1636,1624,66,34,125,166,100
1,3,2435,2424,57,43,112,162,100
1,4,3246,3232,59,41,113,164,100
1,5,4075,4058,55,45,102,157,100
1,6,4889,4870,60,40,111,160,100
2,1,5676,5656,67,33,125,161,100
2,2,6474,6457,60,40,118,167,100
2,3,7245,7228,68,32,130,169,100
2,4,8042,8024,65,35,126,165,100
2,5,8879,8865,57,43,101,151,100
2,6,9665,9650,61,39,117,162,100
3,1,10479,10462,60,40,117,160,100
3,2,11267,11241,62,38,121,166,100
3,3,12073,12052,63,37,116,158,100
3,4,12904,12880,57,43,106,153,100
3,5,13694,13672,65,35,124,163,100
3,6,14500,14477,72,28,131,161,100
4,1,15281,15254,70,30,135,169,100
4,2,16080,16049,58,42,113,162,100
4,3,16891,16858,65,35,121,161,100
4,4,17674,17643,57,43,117,167,100
4,5,18488,18452,60,40,111,154,100
4,6,19312,19273,66,34,119,162,100
5,1,20102,20066,66,34,129,170,100
5,2,20893,20856,69,31,127,162,100
5,3,21703,21672,64,36,115,155,100
5,4,22543,22513,59,41,107,152,100
5,5,23340,23310,61,39,115,161,100
5,6,24138,24107,65,35,123,162,100
6,1,24934,24904,57,43,109,159,100
6,2,25749,25719,62,38,116,155,100
6,3,26553,26525,56,44,112,162,100
6,4,27324,27300,62,38,129,177,100
6,5,28131,28106,65,35,119,164,100
6,6,28963,28933,57,43,103,151,100
