Playing 4900 games:Played 1 out of 4900 games (0%): [1, 0] 
Played 2 out of 4900 games (0%): [2, 0] 
Played 3 out of 4900 games (0%): [3, 0] 
Played 4 out of 4900 games (0%): [6, 0] 
Played 5 out of 4900 games (0%): [7, 0] 
Played 6 out of 4900 games (0%): [7, 1] 
Played 7 out of 4900 games (0%): [7, 3] 
Played 8 out of 4900 games (0%): [8, 3] 
Played 9 out of 4900 games (0%): [9, 3] 
Played 10 out of 4900 games (0%): [9, 6] 
Played 11 out of 4900 games (0%): [10, 6] 
Played 12 out of 4900 games (0%): [10, 8] 
Played 13 out of 4900 games (0%): [10, 10] 
Played 14 out of 4900 games (0%): [11, 10] 
Played 15 out of 4900 games (0%): [12, 10] 
Played 16 out of 4900 games (0%): [13, 10] 
Played 17 out of 4900 games (0%): [15, 10] 
Played 18 out of 4900 games (0%): [15, 11] 
Played 19 out of 4900 games (0%): [15, 12] 
Played 20 out of 4900 games (0%): [17, 12] 
Played 21 out of 4900 games (0%): [17, 15] 
Played 22 out of 4900 games (0%): [18, 15] 
Played 23 out of 4900 games (0%): [20, 15] 
Played 24 out of 4900 games (0%): [20, 16] 
Played 25 out of 4900 games (1%): [20, 17] 
Played 26 out of 4900 games (1%): [21, 17] 
Played 27 out of 4900 games (1%): [21, 18] 
Played 28 out of 4900 games (1%): [22, 18] 
Played 29 out of 4900 games (1%): [22, 19] 
Played 30 out of 4900 games (1%): [23, 19] 
Played 31 out of 4900 games (1%): [23, 21] 
Played 32 out of 4900 games (1%): [24, 21] 
Played 33 out of 4900 games (1%): [25, 21] 
Played 34 out of 4900 games (1%): [27, 21] 
Played 35 out of 4900 games (1%): [27, 22] 
Played 36 out of 4900 games (1%): [30, 22] 
Played 37 out of 4900 games (1%): [31, 22] 
Played 38 out of 4900 games (1%): [33, 22] 
Played 39 out of 4900 games (1%): [33, 24] 
Played 40 out of 4900 games (1%): [34, 24] 
Played 41 out of 4900 games (1%): [35, 24] 
Played 42 out of 4900 games (1%): [37, 24] 
Played 43 out of 4900 games (1%): [37, 25] 
Played 44 out of 4900 games (1%): [39, 25] 
Played 45 out of 4900 games (1%): [42, 25] 
Played 46 out of 4900 games (1%): [43, 25] 
Played 47 out of 4900 games (1%): [44, 25] 
Played 48 out of 4900 games (1%): [45, 25] 
Played 49 out of 4900 games (1%): [45, 26] 
Played 50 out of 4900 games (1%): [46, 26] 
Played 51 out of 4900 games (1%): [47, 26] 
Played 52 out of 4900 games (1%): [49, 26] 
Played 53 out of 4900 games (1%): [49, 28] 
Played 54 out of 4900 games (1%): [49, 29] 
Played 55 out of 4900 games (1%): [49, 30] 
Played 56 out of 4900 games (1%): [51, 30] 
Played 57 out of 4900 games (1%): [52, 30] 
Played 58 out of 4900 games (1%): [52, 33] 
Played 59 out of 4900 games (1%): [52, 36] 
Played 60 out of 4900 games (1%): [53, 36] 
Played 61 out of 4900 games (1%): [54, 36] 
Played 62 out of 4900 games (1%): [54, 38] 
Played 63 out of 4900 games (1%): [56, 38] 
Played 64 out of 4900 games (1%): [56, 41] 
Played 65 out of 4900 games (1%): [58, 41] 
Played 66 out of 4900 games (1%): [58, 44] 
Played 67 out of 4900 games (1%): [60, 44] 
Played 68 out of 4900 games (1%): [60, 47] 
Played 69 out of 4900 games (1%): [61, 47] 
Played 70 out of 4900 games (1%): [61, 49] 
Played 71 out of 4900 games (1%): [62, 49] 
Played 72 out of 4900 games (1%): [62, 51] 
Played 73 out of 4900 games (1%): [62, 52] 
Played 74 out of 4900 games (2%): [62, 53] 
Played 75 out of 4900 games (2%): [62, 54] 
Played 76 out of 4900 games (2%): [62, 55] 
Played 77 out of 4900 games (2%): [63, 55] 
Played 78 out of 4900 games (2%): [66, 55] 
Played 79 out of 4900 games (2%): [68, 55] 
Played 80 out of 4900 games (2%): [71, 55] 
Played 81 out of 4900 games (2%): [72, 55] 
Played 82 out of 4900 games (2%): [73, 55] 
Played 83 out of 4900 games (2%): [74, 55] 
Played 84 out of 4900 games (2%): [75, 55] 
