#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,772,767,31,69,49,146,100
1,2,1547,1534,30,70,52,152,100
1,3,2299,2280,28,72,50,155,100
1,4,3138,3111,33,67,50,132,100
1,5,3892,3871,29,71,55,156,100
1,6,4700,4681,30,70,39,132,100
2,1,5453,5432,35,65,62,148,100
2,2,6232,6197,25,75,30,142,100
2,3,6964,6936,33,67,63,160,100
2,4,7739,7713,31,69,48,139,100
2,5,8493,8463,32,68,51,154,100
2,6,9286,9252,34,66,54,136,100
3,1,10073,10033,24,76,41,138,100
3,2,10856,10809,35,65,63,150,100
3,3,11586,11536,30,70,55,153,100
3,4,12378,12326,33,67,51,139,100
3,5,13138,13081,28,72,46,149,100
3,6,13917,13848,33,67,61,145,100
4,1,14622,14545,41,59,76,166,100
4,2,15371,15292,28,72,49,156,100
4,3,16149,16063,36,64,59,146,100
4,4,16917,16823,37,63,57,149,100
4,5,17694,17597,30,70,45,140,100
4,6,18477,18390,32,68,52,142,100
5,1,19242,19154,16,84,26,144,100
5,2,19994,19905,24,76,43,138,100
5,3,20754,20662,38,62,64,151,100
5,4,21549,21460,33,67,58,145,100
5,5,22317,22221,34,66,56,140,100
5,6,23084,22983,39,61,67,154,100
6,1,23869,23767,35,65,66,145,100
6,2,24593,24491,25,75,47,162,100
6,3,25361,25255,35,65,59,152,100
6,4,26141,26030,36,64,57,144,100
6,5,26926,26816,30,70,51,142,100
6,6,27708,27595,25,75,42,145,100
