#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,799,801,69,31,126,162,100
1,2,1569,1564,70,30,132,169,100
1,3,2362,2353,64,36,116,157,100
1,4,3126,3113,71,29,142,175,100
1,5,3902,3890,66,34,122,161,100
1,6,4681,4671,69,31,126,165,100
2,1,5461,5460,64,36,123,166,100
2,2,6252,6258,64,36,119,165,100
2,3,7043,7051,69,31,127,166,100
2,4,7846,7855,58,42,108,158,100
2,5,8632,8643,69,31,127,163,100
2,6,9418,9431,62,38,115,164,100
3,1,10228,10238,63,37,110,155,100
3,2,11007,11019,66,34,130,168,100
3,3,11774,11789,66,34,128,172,100
3,4,12565,12579,61,39,116,161,100
3,5,13355,13377,71,29,127,162,100
3,6,14179,14197,65,35,116,155,100
4,1,14988,15003,76,24,135,163,100
4,2,15765,15775,67,33,134,173,100
4,3,16550,16558,65,35,123,161,100
4,4,17327,17338,68,32,132,166,100
4,5,18123,18139,62,38,117,161,100
4,6,18895,18915,64,36,123,163,100
5,1,19684,19711,67,33,123,161,100
5,2,20461,20490,56,44,109,163,100
5,3,21240,21272,72,28,134,167,100
5,4,22009,22046,70,30,132,171,100
5,5,22805,22842,64,36,119,162,100
5,6,23572,23610,67,33,132,168,100
6,1,24358,24397,65,35,125,164,100
6,2,25170,25207,64,36,118,160,100
6,3,25982,26012,65,35,112,151,100
6,4,26746,26780,67,33,130,169,100
6,5,27539,27570,61,39,112,157,100
6,6,28338,28361,72,28,127,158,100
