#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,808,807,34,66,46,141,100
1,2,1617,1620,33,67,43,140,100
1,3,2429,2426,33,67,45,143,100
1,4,3232,3220,30,70,37,133,100
1,5,4003,3996,32,68,43,151,100
1,6,4846,4842,35,65,44,133,100
2,1,5644,5627,33,67,49,142,100
2,2,6475,6462,28,72,34,131,100
2,3,7284,7275,32,68,45,137,100
2,4,8119,8113,25,75,32,134,100
2,5,8948,8938,28,72,41,136,100
2,6,9735,9718,36,64,51,142,100
3,1,10504,10490,30,70,44,149,100
3,2,11322,11307,29,71,38,140,100
3,3,12127,12116,35,65,51,142,100
3,4,12914,12907,31,69,41,139,100
3,5,13676,13668,30,70,42,148,100
3,6,14491,14485,33,67,45,142,100
4,1,15341,15338,33,67,43,129,100
4,2,16160,16157,32,68,43,131,100
4,3,16936,16934,30,70,41,147,100
4,4,17740,17735,26,74,35,142,100
4,5,18512,18505,36,64,50,140,100
4,6,19336,19322,32,68,46,135,100
5,1,20145,20134,24,76,33,138,100
5,2,20952,20937,33,67,45,137,100
5,3,21758,21743,26,74,37,141,100
5,4,22559,22546,36,64,43,135,100
5,5,23388,23382,35,65,44,125,100
5,6,24160,24157,32,68,41,140,100
6,1,24963,24961,31,69,46,140,100
6,2,25792,25794,39,61,50,138,100
6,3,26581,26576,33,67,46,143,100
6,4,27358,27351,33,67,46,144,100
6,5,28162,28157,31,69,45,147,100
6,6,28974,28970,26,74,33,135,100
