/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
Playing 24200 games:
Played 1 out of 24200 games (0%): [1, 0] 
Played 2 out of 24200 games (0%): [3, 0] 
Played 3 out of 24200 games (0%): [5, 0] 
Played 4 out of 24200 games (0%): [5, 1] 
Played 5 out of 24200 games (0%): [6, 1] 
Played 6 out of 24200 games (0%): [9, 1] 
Played 7 out of 24200 games (0%): [12, 1] 
Played 8 out of 24200 games (0%): [12, 2] 
Played 9 out of 24200 games (0%): [15, 2] 
Played 10 out of 24200 games (0%): [16, 2] 
Played 11 out of 24200 games (0%): [17, 2] 
Played 12 out of 24200 games (0%): [19, 2] 
Played 13 out of 24200 games (0%): [20, 2] 
Played 14 out of 24200 games (0%): [21, 2] 
Played 15 out of 24200 games (0%): [23, 2] 
Played 16 out of 24200 games (0%): [26, 2] 
Played 17 out of 24200 games (0%): [29, 2] 
Played 18 out of 24200 games (0%): [32, 2] 
Played 19 out of 24200 games (0%): [33, 2] 
Played 20 out of 24200 games (0%): [34, 2] 
Played 21 out of 24200 games (0%): [35, 2] 
Played 22 out of 24200 games (0%): [35, 4] 
Played 23 out of 24200 games (0%): [35, 5] 
Played 24 out of 24200 games (0%): [38, 5] 
Played 25 out of 24200 games (0%): [39, 5] 
Played 26 out of 24200 games (0%): [40, 5] 
Played 27 out of 24200 games (0%): [41, 5] 
Played 28 out of 24200 games (0%): [42, 5] 
Played 29 out of 24200 games (0%): [43, 5] 
Played 30 out of 24200 games (0%): [46, 5] 
Played 31 out of 24200 games (0%): [47, 5] 
Played 32 out of 24200 games (0%): [48, 5] 
Played 33 out of 24200 games (0%): [48, 7] 
Played 34 out of 24200 games (0%): [51, 7] 
Played 35 out of 24200 games (0%): [52, 7] 
Played 36 out of 24200 games (0%): [54, 7] 
Played 37 out of 24200 games (0%): [55, 7] 
Played 38 out of 24200 games (0%): [56, 7] 
Played 39 out of 24200 games (0%): [57, 7] 
Played 40 out of 24200 games (0%): [60, 7] 
Played 41 out of 24200 games (0%): [61, 7] 
Played 42 out of 24200 games (0%): [62, 7] 
Played 43 out of 24200 games (0%): [64, 7] 
Played 44 out of 24200 games (0%): [65, 7] 
Played 45 out of 24200 games (0%): [65, 8] 
Played 46 out of 24200 games (0%): [67, 8] 
Played 47 out of 24200 games (0%): [68, 8] 
Played 48 out of 24200 games (0%): [68, 9] 
Played 49 out of 24200 games (0%): [68, 11] 
Played 50 out of 24200 games (0%): [69, 11] 
Played 51 out of 24200 games (0%): [70, 11] 
Played 52 out of 24200 games (0%): [71, 11] 
Played 53 out of 24200 games (0%): [74, 11] 
Played 54 out of 24200 games (0%): [75, 11] 
Played 55 out of 24200 games (0%): [76, 11] 
Played 56 out of 24200 games (0%): [78, 11] 
Played 57 out of 24200 games (0%): [79, 11] 
Played 58 out of 24200 games (0%): [80, 11] 
Played 59 out of 24200 games (0%): [81, 11] 
Played 60 out of 24200 games (0%): [81, 12] 
Played 61 out of 24200 games (0%): [84, 12] 
Played 62 out of 24200 games (0%): [84, 13] 
Played 63 out of 24200 games (0%): [87, 13] 
Played 64 out of 24200 games (0%): [87, 14] 
Played 65 out of 24200 games (0%): [89, 14] 
Played 66 out of 24200 games (0%): [91, 14] 
Played 67 out of 24200 games (0%): [93, 14] 
Played 68 out of 24200 games (0%): [93, 17] 
Played 69 out of 24200 games (0%): [96, 17] 
Played 70 out of 24200 games (0%): [99, 17] 
Played 71 out of 24200 games (0%): [102, 17] 
Played 72 out of 24200 games (0%): [104, 17] 
Played 73 out of 24200 games (0%): [105, 17] 
Played 74 out of 24200 games (0%): [107, 17] 
Played 75 out of 24200 games (0%): [107, 18] 
Played 76 out of 24200 games (0%): [109, 18] 
Played 77 out of 24200 games (0%): [110, 18] 
Played 78 out of 24200 games (0%): [110, 19] 
Played 79 out of 24200 games (0%): [113, 19] 
Played 80 out of 24200 games (0%): [116, 19] 
Played 81 out of 24200 games (0%): [119, 19] 
Played 82 out of 24200 games (0%): [119, 22] 
Played 83 out of 24200 games (0%): [119, 23] 
Played 84 out of 24200 games (0%): [122, 23] 
Played 85 out of 24200 games (0%): [125, 23] 
Played 86 out of 24200 games (0%): [127, 23] 
Played 87 out of 24200 games (0%): [130, 23] 
Played 88 out of 24200 games (0%): [132, 23] 
Played 89 out of 24200 games (0%): [135, 23] 
Played 90 out of 24200 games (0%): [138, 23] 
Played 91 out of 24200 games (0%): [140, 23] 
Played 92 out of 24200 games (0%): [141, 23] 
Played 93 out of 24200 games (0%): [143, 23] 
Played 94 out of 24200 games (0%): [145, 23] 
Played 95 out of 24200 games (0%): [147, 23] 
Played 96 out of 24200 games (0%): [147, 26] 
Played 97 out of 24200 games (0%): [147, 28] 
Played 98 out of 24200 games (0%): [150, 28] 
Played 99 out of 24200 games (0%): [151, 28] 
Played 100 out of 24200 games (0%): [152, 28] 
Played 101 out of 24200 games (0%): [155, 28] 
Played 102 out of 24200 games (0%): [157, 28] 
Played 103 out of 24200 games (0%): [157, 30] 
Played 104 out of 24200 games (0%): [160, 30] 
Played 105 out of 24200 games (0%): [163, 30] 
Played 106 out of 24200 games (0%): [166, 30] 
Played 107 out of 24200 games (0%): [168, 30] 
Played 108 out of 24200 games (0%): [171, 30] 
Played 109 out of 24200 games (0%): [172, 30] 
Played 110 out of 24200 games (0%): [173, 30] 
Played 111 out of 24200 games (0%): [175, 30] 
Played 112 out of 24200 games (0%): [175, 31] 
Played 113 out of 24200 games (0%): [177, 31] 
Played 114 out of 24200 games (0%): [177, 34] 
Played 115 out of 24200 games (0%): [178, 34] 
Played 116 out of 24200 games (0%): [178, 35] 
Played 117 out of 24200 games (0%): [181, 35] 
Played 118 out of 24200 games (0%): [184, 35] 
Played 119 out of 24200 games (0%): [185, 35] 
Played 120 out of 24200 games (0%): [186, 35] 
Played 121 out of 24200 games (0%): [187, 35] 
Played 122 out of 24200 games (1%): [187, 36] 
Played 123 out of 24200 games (1%): [190, 36] 
Played 124 out of 24200 games (1%): [192, 36] 
Played 125 out of 24200 games (1%): [193, 36] 
Played 126 out of 24200 games (1%): [195, 36] 
Played 127 out of 24200 games (1%): [196, 36] 
Played 128 out of 24200 games (1%): [198, 36] 
Played 129 out of 24200 games (1%): [200, 36] 
Played 130 out of 24200 games (1%): [201, 36] 
