Belief State,Depth,Wining Ratio
1,1,0.2956204379562044
1,2,0.41403508771929826
1,3,0.3447098976109215
1,4,0.3392226148409894
1,5,0.4158415841584158
1,6,0.3566666666666667
1,7,0.37755102040816324
1,8,0.4217687074829932
1,9,0.3588039867109635
1,10,0.3581081081081081
1,11,0.34448160535117056
1,12,0.31690140845070425
1,13,0.41
1,14,0.3333333333333333
1,15,0.32116788321167883
1,16,0.29411764705882354
1,17,0.3918918918918919
1,18,0.3505535055350554
1,19,0.41254125412541254
1,20,0.3771626297577855
2,1,0.24822695035460993
2,2,0.2974910394265233
2,3,0.3333333333333333
2,4,0.4358108108108108
2,5,0.28668941979522183
2,6,0.3818770226537217
2,7,0.4103448275862069
2,8,0.2743055555555556
2,9,0.2992957746478873
2,10,0.34121621621621623
2,11,0.34915254237288135
2,12,0.37809187279151946
2,13,0.3547297297297297
2,14,0.41414141414141414
