Belief State,Depth,Wining Ratio
1,1,0.7175324675324676
1,2,0.7294117647058823
1,3,0.7641509433962265
1,4,0.7300613496932515
1,5,0.6785714285714286
1,6,0.7222222222222222
1,7,0.7318611987381703
1,8,0.7671641791044777
1,9,0.7091503267973857
1,10,0.7142857142857143
1,11,0.7514792899408284
1,12,0.7100977198697068
1,13,0.639871382636656
1,14,0.7561728395061729
1,15,0.7345679012345679
1,16,0.7586206896551724
1,17,0.6967741935483871
1,18,0.7685185185185185
1,19,0.7371601208459214
1,20,0.7306501547987616
2,1,0.7761194029850746
2,2,0.7614678899082569
2,3,0.7423312883435583
2,4,0.7547169811320755
2,5,0.7222222222222222
2,6,0.7396825396825397
2,7,0.7335423197492164
2,8,0.7207207207207207
2,9,0.7676470588235295
2,10,0.7116564417177914
2,11,0.7880597014925373
2,12,0.7258566978193146
2,13,0.7190332326283988
2,14,0.740625
2,15,0.7400611620795107
2,16,0.7138461538461538
2,17,0.7546583850931677
2,18,0.7012578616352201
2,19,0.7403846153846154
2,20,0.7714285714285715
3,1,0.7142857142857143
3,2,0.7671641791044777
3,3,0.7680722891566265
3,4,0.7295597484276729
3,5,0.7195121951219512
3,6,0.7381703470031545
3,7,0.7134328358208956
3,8,0.6875
3,9,0.7129337539432177
3,10,0.7308868501529052
