Playing 24200 games:
Played 1 out of 24200 games (0%): [0, 1] 
Played 2 out of 24200 games (0%): [0, 2] 
Played 3 out of 24200 games (0%): [0, 3] 
Played 4 out of 24200 games (0%): [0, 4] 
Played 5 out of 24200 games (0%): [1, 4] 
Played 6 out of 24200 games (0%): [3, 4] 
Played 7 out of 24200 games (0%): [5, 4] 
Played 8 out of 24200 games (0%): [6, 4] 
Played 9 out of 24200 games (0%): [6, 5] 
Played 10 out of 24200 games (0%): [8, 5] 
Played 11 out of 24200 games (0%): [9, 5] 
Played 12 out of 24200 games (0%): [10, 5] 
Played 13 out of 24200 games (0%): [10, 6] 
Played 14 out of 24200 games (0%): [11, 6] 
Played 15 out of 24200 games (0%): [12, 6] 
Played 16 out of 24200 games (0%): [12, 7] 
Played 17 out of 24200 games (0%): [12, 8] 
Played 18 out of 24200 games (0%): [12, 10] 
Played 19 out of 24200 games (0%): [13, 10] 
Played 20 out of 24200 games (0%): [13, 12] 
Played 21 out of 24200 games (0%): [13, 13] 
Played 22 out of 24200 games (0%): [15, 13] 
Played 23 out of 24200 games (0%): [15, 14] 
Played 24 out of 24200 games (0%): [15, 15] 
Played 25 out of 24200 games (0%): [15, 16] 
Played 26 out of 24200 games (0%): [16, 16] 
Played 27 out of 24200 games (0%): [16, 17] 
Played 28 out of 24200 games (0%): [16, 18] 
Played 29 out of 24200 games (0%): [16, 19] 
Played 30 out of 24200 games (0%): [17, 19] 
Played 31 out of 24200 games (0%): [19, 19] 
Played 32 out of 24200 games (0%): [21, 19] 
Played 33 out of 24200 games (0%): [23, 19] 
Played 34 out of 24200 games (0%): [24, 19] 
Played 35 out of 24200 games (0%): [25, 19] 
Played 36 out of 24200 games (0%): [25, 20] 
Played 37 out of 24200 games (0%): [25, 21] 
Played 38 out of 24200 games (0%): [27, 21] 
Played 39 out of 24200 games (0%): [28, 21] 
Played 40 out of 24200 games (0%): [29, 21] 
Played 41 out of 24200 games (0%): [30, 21] 
Played 42 out of 24200 games (0%): [30, 22] 
Played 43 out of 24200 games (0%): [30, 23] 
Played 44 out of 24200 games (0%): [31, 23] 
Played 45 out of 24200 games (0%): [32, 23] 
Played 46 out of 24200 games (0%): [33, 23] 
Played 47 out of 24200 games (0%): [33, 24] 
Played 48 out of 24200 games (0%): [34, 24] 
Played 49 out of 24200 games (0%): [35, 24] 
Played 50 out of 24200 games (0%): [35, 25] 
Played 51 out of 24200 games (0%): [35, 26] 
Played 52 out of 24200 games (0%): [35, 27] 
Played 53 out of 24200 games (0%): [35, 28] 
Played 54 out of 24200 games (0%): [36, 28] 
Played 55 out of 24200 games (0%): [36, 30] 
Played 56 out of 24200 games (0%): [37, 30] 
Played 57 out of 24200 games (0%): [37, 31] 
Played 58 out of 24200 games (0%): [38, 31] 
Played 59 out of 24200 games (0%): [38, 32] 
Played 60 out of 24200 games (0%): [39, 32] 
Played 61 out of 24200 games (0%): [39, 33] 
Played 62 out of 24200 games (0%): [40, 33] 
Played 63 out of 24200 games (0%): [42, 33] 
Played 64 out of 24200 games (0%): [44, 33] 
Played 65 out of 24200 games (0%): [45, 33] 
Played 66 out of 24200 games (0%): [45, 34] 
Played 67 out of 24200 games (0%): [45, 35] 
Played 68 out of 24200 games (0%): [45, 36] 
Played 69 out of 24200 games (0%): [45, 37] 
Played 70 out of 24200 games (0%): [45, 38] 
Played 71 out of 24200 games (0%): [46, 38] 
Played 72 out of 24200 games (0%): [46, 39] 
Played 73 out of 24200 games (0%): [47, 39] 
Played 74 out of 24200 games (0%): [48, 39] 
Played 75 out of 24200 games (0%): [48, 40] 
Played 76 out of 24200 games (0%): [49, 40] 
Played 77 out of 24200 games (0%): [50, 40] 
Played 78 out of 24200 games (0%): [52, 40] 
Played 79 out of 24200 games (0%): [52, 41] 
Played 80 out of 24200 games (0%): [53, 41] 
Played 81 out of 24200 games (0%): [54, 41] 
Played 82 out of 24200 games (0%): [54, 42] 
Played 83 out of 24200 games (0%): [56, 42] 
Played 84 out of 24200 games (0%): [58, 42] 
Played 85 out of 24200 games (0%): [58, 43] 
Played 86 out of 24200 games (0%): [58, 44] 
Played 87 out of 24200 games (0%): [59, 44] 
Played 88 out of 24200 games (0%): [61, 44] 
Played 89 out of 24200 games (0%): [61, 45] 
Played 90 out of 24200 games (0%): [61, 46] 
Played 91 out of 24200 games (0%): [61, 48] 
Played 92 out of 24200 games (0%): [62, 48] 
Played 93 out of 24200 games (0%): [63, 48] 
Played 94 out of 24200 games (0%): [63, 49] 
Played 95 out of 24200 games (0%): [65, 49] 
Played 96 out of 24200 games (0%): [66, 49] 
Played 97 out of 24200 games (0%): [68, 49] 
Played 98 out of 24200 games (0%): [69, 49] 
Played 99 out of 24200 games (0%): [71, 49] 
Played 100 out of 24200 games (0%): [71, 50] 
Played 101 out of 24200 games (0%): [71, 51] 
Played 102 out of 24200 games (0%): [71, 52] 
Played 103 out of 24200 games (0%): [71, 53] 
Played 104 out of 24200 games (0%): [72, 53] 
Played 105 out of 24200 games (0%): [72, 55] 
Played 106 out of 24200 games (0%): [73, 55] 
Played 107 out of 24200 games (0%): [75, 55] 
Played 108 out of 24200 games (0%): [76, 55] 
Played 109 out of 24200 games (0%): [78, 55] 
Played 110 out of 24200 games (0%): [78, 56] 
Played 111 out of 24200 games (0%): [80, 56] 
Played 112 out of 24200 games (0%): [80, 57] 
Played 113 out of 24200 games (0%): [82, 57] 
Played 114 out of 24200 games (0%): [82, 58] 
Played 115 out of 24200 games (0%): [83, 58] 
Played 116 out of 24200 games (0%): [83, 59] 
Played 117 out of 24200 games (0%): [84, 59] 
Played 118 out of 24200 games (0%): [85, 59] 
Played 119 out of 24200 games (0%): [86, 59] 
Played 120 out of 24200 games (0%): [86, 61] 
Played 121 out of 24200 games (0%): [86, 62] 
Played 122 out of 24200 games (1%): [86, 63] 
Played 123 out of 24200 games (1%): [87, 63] 
Played 124 out of 24200 games (1%): [88, 63] 
Played 125 out of 24200 games (1%): [89, 63] 
Played 126 out of 24200 games (1%): [89, 64] 
Played 127 out of 24200 games (1%): [91, 64] 
Played 128 out of 24200 games (1%): [91, 65] 
Played 129 out of 24200 games (1%): [92, 65] 
Played 130 out of 24200 games (1%): [92, 66] 
Played 131 out of 24200 games (1%): [93, 66] 
Played 132 out of 24200 games (1%): [93, 67] 
Played 133 out of 24200 games (1%): [94, 67] 
Played 134 out of 24200 games (1%): [94, 69] 
Played 135 out of 24200 games (1%): [94, 71] 
Played 136 out of 24200 games (1%): [96, 71] 
Played 137 out of 24200 games (1%): [96, 72] 
Played 138 out of 24200 games (1%): [96, 73] 
Played 139 out of 24200 games (1%): [96, 74] 
Played 140 out of 24200 games (1%): [97, 74] 
Played 141 out of 24200 games (1%): [97, 75] 
Played 142 out of 24200 games (1%): [99, 75] 
Played 143 out of 24200 games (1%): [99, 76] 
Played 144 out of 24200 games (1%): [100, 76] 
Played 145 out of 24200 games (1%): [100, 77] 
Played 146 out of 24200 games (1%): [101, 77] 
Played 147 out of 24200 games (1%): [103, 77] 
Played 148 out of 24200 games (1%): [103, 78] 
Played 149 out of 24200 games (1%): [104, 78] 
Played 150 out of 24200 games (1%): [106, 78] 
Played 151 out of 24200 games (1%): [107, 78] 
Played 152 out of 24200 games (1%): [108, 78] 
Played 153 out of 24200 games (1%): [109, 78] 
Played 154 out of 24200 games (1%): [111, 78] 
Played 155 out of 24200 games (1%): [113, 78] 
Played 156 out of 24200 games (1%): [113, 79] 
Played 157 out of 24200 games (1%): [113, 80] 
Played 158 out of 24200 games (1%): [115, 80] 
Played 159 out of 24200 games (1%): [117, 80] 
Played 160 out of 24200 games (1%): [117, 81] 
Played 161 out of 24200 games (1%): [118, 81] 
Played 162 out of 24200 games (1%): [120, 81] 
Played 163 out of 24200 games (1%): [121, 81] 
Played 164 out of 24200 games (1%): [121, 82] 
Played 165 out of 24200 games (1%): [123, 82] 
Played 166 out of 24200 games (1%): [123, 83] 
Played 167 out of 24200 games (1%): [123, 84] 
Played 168 out of 24200 games (1%): [124, 84] 
Played 169 out of 24200 games (1%): [125, 84] 
Played 170 out of 24200 games (1%): [127, 84] 
Played 171 out of 24200 games (1%): [127, 85] 
Played 172 out of 24200 games (1%): [127, 86] 
Played 173 out of 24200 games (1%): [128, 86] 
Played 174 out of 24200 games (1%): [128, 87] 
Played 175 out of 24200 games (1%): [129, 87] 
Played 176 out of 24200 games (1%): [129, 88] 
Played 177 out of 24200 games (1%): [131, 88] 
Played 178 out of 24200 games (1%): [132, 88] 
Played 179 out of 24200 games (1%): [132, 89] 
Played 180 out of 24200 games (1%): [134, 89] 
Played 181 out of 24200 games (1%): [134, 90] 
Played 182 out of 24200 games (1%): [136, 90] 
Played 183 out of 24200 games (1%): [137, 90] 
Played 184 out of 24200 games (1%): [139, 90] 
Played 185 out of 24200 games (1%): [140, 90] 
Played 186 out of 24200 games (1%): [140, 91] 
Played 187 out of 24200 games (1%): [140, 92] 
Played 188 out of 24200 games (1%): [141, 92] 
Played 189 out of 24200 games (1%): [141, 93] 
Played 190 out of 24200 games (1%): [142, 93] 
Played 191 out of 24200 games (1%): [143, 93] 
Played 192 out of 24200 games (1%): [143, 94] 
Played 193 out of 24200 games (1%): [145, 94] 
Played 194 out of 24200 games (1%): [145, 95] 
Played 195 out of 24200 games (1%): [146, 95] 
Played 196 out of 24200 games (1%): [147, 95] 
Played 197 out of 24200 games (1%): [147, 97] 
Played 198 out of 24200 games (1%): [148, 97] 
Played 199 out of 24200 games (1%): [148, 98] 
Played 200 out of 24200 games (1%): [150, 98] 
Played 201 out of 24200 games (1%): [2, 0] 
Played 202 out of 24200 games (1%): [2, 1] 
Played 203 out of 24200 games (1%): [3, 1] 
Played 204 out of 24200 games (1%): [4, 1] 
Played 205 out of 24200 games (1%): [5, 1] 
Played 206 out of 24200 games (1%): [6, 1] 
Played 207 out of 24200 games (1%): [6, 3] 
Played 208 out of 24200 games (1%): [7, 3] 
Played 209 out of 24200 games (1%): [7, 4] 
