#Belief state,#Depth,#EXP. bot moves,#Opponent bot moves,#EXP. bot wins,#Opponent bot wins,EXP. bot points,Total points,#Total games
1,1,428,428,45,55,48,107,100
1,2,831,831,39,61,45,120,100
1,3,1225,1225,47,53,51,123,100
1,4,1602,1602,39,61,44,116,100
1,5,1995,1995,56,44,64,113,100
1,6,2410,2410,41,59,44,112,100
2,1,2799,2799,44,56,51,120,100
2,2,3203,3203,40,60,45,116,100
2,3,3586,3586,45,55,51,118,100
2,4,3995,3995,51,49,59,111,100
2,5,4380,4380,33,67,39,120,100
2,6,4774,4774,42,58,51,116,100
3,1,5168,5168,40,60,46,119,100
3,2,5559,5559,52,48,66,121,100
3,3,5962,5962,53,47,61,115,100
3,4,6371,6371,42,58,47,114,100
3,5,6775,6775,38,62,43,118,100
3,6,7173,7173,44,56,50,112,100
4,1,7564,7564,49,51,56,115,100
4,2,7981,7981,40,60,43,111,100
4,3,8378,8378,41,59,49,123,100
4,4,8782,8782,40,60,51,122,100
4,5,9194,9194,48,52,54,115,100
4,6,9599,9599,50,50,54,113,100
5,1,10020,10020,41,59,47,117,100
5,2,10438,10438,53,47,64,120,100
5,3,10847,10847,45,55,51,114,100
5,4,11233,11233,46,54,53,117,100
5,5,11647,11647,47,53,52,113,100
5,6,12069,12069,45,55,53,113,100
6,1,12480,12480,46,54,55,118,100
6,2,12899,12899,40,60,45,112,100
6,3,13280,13280,45,55,54,119,100
6,4,13685,13685,41,59,50,118,100
6,5,14095,14095,46,54,52,115,100
6,6,14484,14484,44,56,52,127,100
