Playing 4900 games:Played 1 out of 4900 games (0%): [1, 0] 
Played 2 out of 4900 games (0%): [2, 0] 
Played 3 out of 4900 games (0%): [2, 1] 
Played 4 out of 4900 games (0%): [2, 2] 
Played 5 out of 4900 games (0%): [3, 2] 
Played 6 out of 4900 games (0%): [4, 2] 
Played 7 out of 4900 games (0%): [5, 2] 
Played 8 out of 4900 games (0%): [7, 2] 
Played 9 out of 4900 games (0%): [8, 2] 
Played 10 out of 4900 games (0%): [8, 3] 
Played 11 out of 4900 games (0%): [8, 4] 
Played 12 out of 4900 games (0%): [8, 5] 
Played 13 out of 4900 games (0%): [9, 5] 
Played 14 out of 4900 games (0%): [10, 5] 
Played 15 out of 4900 games (0%): [11, 5] 
Played 16 out of 4900 games (0%): [11, 6] 
Played 17 out of 4900 games (0%): [12, 6] 
Played 18 out of 4900 games (0%): [13, 6] 
Played 19 out of 4900 games (0%): [13, 7] 
Played 20 out of 4900 games (0%): [14, 7] 
Played 21 out of 4900 games (0%): [15, 7] 
Played 22 out of 4900 games (0%): [16, 7] 
Played 23 out of 4900 games (0%): [17, 7] 
Played 24 out of 4900 games (0%): [17, 9] 
Played 25 out of 4900 games (1%): [17, 10] 
Played 26 out of 4900 games (1%): [17, 11] 
Played 27 out of 4900 games (1%): [18, 11] 
Played 28 out of 4900 games (1%): [18, 12] 
Played 29 out of 4900 games (1%): [18, 13] 
Played 30 out of 4900 games (1%): [20, 13] 
Played 31 out of 4900 games (1%): [21, 13] 
Played 32 out of 4900 games (1%): [21, 14] 
Played 33 out of 4900 games (1%): [21, 15] 
Played 34 out of 4900 games (1%): [23, 15] 
Played 35 out of 4900 games (1%): [24, 15] 
Played 36 out of 4900 games (1%): [24, 16] 
Played 37 out of 4900 games (1%): [24, 17] 
Played 38 out of 4900 games (1%): [24, 18] 
Played 39 out of 4900 games (1%): [25, 18] 
Played 40 out of 4900 games (1%): [25, 19] 
Played 41 out of 4900 games (1%): [27, 19] 
Played 42 out of 4900 games (1%): [27, 20] 
Played 43 out of 4900 games (1%): [27, 21] 
Played 44 out of 4900 games (1%): [28, 21] 
Played 45 out of 4900 games (1%): [29, 21] 
Played 46 out of 4900 games (1%): [29, 22] 
Played 47 out of 4900 games (1%): [29, 23] 
Played 48 out of 4900 games (1%): [30, 23] 
Played 49 out of 4900 games (1%): [30, 24] 
Played 50 out of 4900 games (1%): [31, 24] 
Played 51 out of 4900 games (1%): [31, 25] 
Played 52 out of 4900 games (1%): [32, 25] 
Played 53 out of 4900 games (1%): [32, 26] 
Played 54 out of 4900 games (1%): [33, 26] 
Played 55 out of 4900 games (1%): [34, 26] 
Played 56 out of 4900 games (1%): [34, 27] 
Played 57 out of 4900 games (1%): [35, 27] 
Played 58 out of 4900 games (1%): [35, 28] 
Played 59 out of 4900 games (1%): [35, 29] 
Played 60 out of 4900 games (1%): [36, 29] 
Played 61 out of 4900 games (1%): [36, 30] 
Played 62 out of 4900 games (1%): [36, 31] 
Played 63 out of 4900 games (1%): [36, 32] 
Played 64 out of 4900 games (1%): [37, 32] 
Played 65 out of 4900 games (1%): [37, 33] 
Played 66 out of 4900 games (1%): [38, 33] 
Played 67 out of 4900 games (1%): [38, 34] 
Played 68 out of 4900 games (1%): [38, 35] 
Played 69 out of 4900 games (1%): [39, 35] 
Played 70 out of 4900 games (1%): [40, 35] 
Played 71 out of 4900 games (1%): [40, 36] 
Played 72 out of 4900 games (1%): [40, 37] 
Played 73 out of 4900 games (1%): [40, 38] 
Played 74 out of 4900 games (2%): [40, 39] 
Played 75 out of 4900 games (2%): [40, 41] 
Played 76 out of 4900 games (2%): [41, 41] 
Played 77 out of 4900 games (2%): [42, 41] 
Played 78 out of 4900 games (2%): [43, 41] 
Played 79 out of 4900 games (2%): [44, 41] 
Played 80 out of 4900 games (2%): [44, 42] 
Played 81 out of 4900 games (2%): [44, 44] 
Played 82 out of 4900 games (2%): [44, 45] 
Played 83 out of 4900 games (2%): [44, 46] 
Played 84 out of 4900 games (2%): [45, 46] 
Played 85 out of 4900 games (2%): [46, 46] 
Played 86 out of 4900 games (2%): [47, 46] 
Played 87 out of 4900 games (2%): [47, 47] 
Played 88 out of 4900 games (2%): [48, 47] 
Played 89 out of 4900 games (2%): [49, 47] 
Played 90 out of 4900 games (2%): [50, 47] 
Played 91 out of 4900 games (2%): [51, 47] 
Played 92 out of 4900 games (2%): [52, 47] 
Played 93 out of 4900 games (2%): [53, 47] 
Played 94 out of 4900 games (2%): [54, 47] 
Played 95 out of 4900 games (2%): [55, 47] 
Played 96 out of 4900 games (2%): [56, 47] 
Played 97 out of 4900 games (2%): [57, 47] 
Played 98 out of 4900 games (2%): [58, 47] 
Played 99 out of 4900 games (2%): [59, 47] 
Played 100 out of 4900 games (2%): [59, 48] 
Played 101 out of 4900 games (2%): [2, 0] 
Played 102 out of 4900 games (2%): [3, 0] 
Played 103 out of 4900 games (2%): [3, 1] 
Played 104 out of 4900 games (2%): [4, 1] 
Played 105 out of 4900 games (2%): [5, 1] 
Played 106 out of 4900 games (2%): [5, 3] 
Played 107 out of 4900 games (2%): [6, 3] 
Played 108 out of 4900 games (2%): [7, 3] 
Played 109 out of 4900 games (2%): [8, 3] 
Played 110 out of 4900 games (2%): [8, 4] 
Played 111 out of 4900 games (2%): [8, 5] 
Played 112 out of 4900 games (2%): [8, 6] 
Played 113 out of 4900 games (2%): [8, 7] 
Played 114 out of 4900 games (2%): [10, 7] 
Played 115 out of 4900 games (2%): [11, 7] 
Played 116 out of 4900 games (2%): [12, 7] 
Played 117 out of 4900 games (2%): [12, 8] 
Played 118 out of 4900 games (2%): [12, 9] 
Played 119 out of 4900 games (2%): [13, 9] 
Played 120 out of 4900 games (2%): [14, 9] 
Played 121 out of 4900 games (2%): [14, 10] 
Played 122 out of 4900 games (2%): [15, 10] 
Played 123 out of 4900 games (3%): [16, 10] 
Played 124 out of 4900 games (3%): [17, 10] 
Played 125 out of 4900 games (3%): [17, 11] 
Played 126 out of 4900 games (3%): [18, 11] 
Played 127 out of 4900 games (3%): [19, 11] 
Played 128 out of 4900 games (3%): [20, 11] 
Played 129 out of 4900 games (3%): [20, 12] 
Played 130 out of 4900 games (3%): [22, 12] 
Played 131 out of 4900 games (3%): [23, 12] 
Played 132 out of 4900 games (3%): [24, 12] 
Played 133 out of 4900 games (3%): [25, 12] 
